Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18
fa7cd535486b4fe860ee620a0200ac0e,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
077b7aa6b8aab168390e4c5ff61efe40,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
40d7265f870c1821981c3c40f8a3b2dc,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
8025680fbb9aab9b575dcd8f888d42bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fbd0ffedf43d7b16d526d420fea003bc,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e87d1f32fa4e767050ac139931e56a70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25a30d09fa2f3148efec18638762e3cf,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525f58afd6130bfb309cf5415fd0c005,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72679fdbe50c28817b90ccd5d7ea5280,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
d8dccc8b382d0e0d97ec44b0105dce0f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
c9da638a45fe55536183f5a8e9f72e59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a04b9170e8a4837503ab016636b0fcdf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0fd4f22462e2c34d938297365a7d5c51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
c6a39d210eb9560536a7e3a500ee0cbb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45880d6a255e801d1a5b0710b62586c8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5c227d3920a3c8867ca29d139c5466a8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291afa25498d8c8126e80603862b4383,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b2d3de091e5bab6ce2de0ea18ce3001e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
a3bdfddd7c0bc424aceba6801167c269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814a189a2b4d0e869412900c6eaac9f5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1cf665a3218d15db49dd40895c867bff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
e61962991f7d15cf676ffa73125ffe48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
bd120e716bd8cd8b524e99c0b3bb8365,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08e6839d5a335f528ba094e24e0e13da,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c97a531ac65a53faa7a7ec4eed4b76bb,0,0,0,6,0,0,0,15,0,0,16,35,0,0,12,0,0,0
784d7ab679cb17ea47c2b19358618e5c,0,0,25,0,0,0,1,0,0,24,0,0,14,0,7,2,0,0
dac3fabe342627ff4f032e54dc4884b9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0
ba32a23e572669bda09cffb385e132a9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d9b0763fc58cb64bd1ea56dbac6178d7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c32e0f25f8685f478cfeb8af6589179e,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
fcd61bc47b5f85f80781ecdc4443f62d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bf37c167ff120ba1e334435ed7c5290c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
12ddc2dbde441919e5777519c26b3412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31f5e6143596122b1174098ff8d5d6ed,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0
58575cb7540e288d7abd4a820c2fd972,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3a536fe1bdec69550fa3fb48144d3d39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
c25627692519b7a0a7e93f893369e057,16,7,31,0,10,9,0,7,0,5,5,10,0,9,0,0,0,0
80962e633525a163a40d1177a21e13ad,0,0,7,0,0,0,0,0,4,1,3,0,0,4,0,0,0,0
c4193d450df79764e9bd4f347d38b45b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0
0a9d1746688b33d4d956f0bec9e4d4ad,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c52b341af0012237ba1f1b0cec68fb37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
6ee22b4e1e68ce9e8992372ee1b121d0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5bab48a1a6d6ab3ebce9364bd220abb1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2fd08004f0c560b9cbca2c8e343b5235,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51088963700906379f21287193977a7d,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1f863771d190c30fba3fd2b235bc2889,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42dda9dd90f63f31c6f60d206e6cd2b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62640a5cd32ce292e52dce151c64adb5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b6d82680cc974cb3ae6099060eb18372,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c88f40c1e2261c3fbbf5963da5991626,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
b57cdb205a713b45af61f923a5cf6eaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f7eebe9852e18cdf9eb04675e5be6ea6,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6ccee5e8e235e3e8802b3a770706b8a3,117,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0
