Genus	Family	PN-1	PN-2	PN-3	PNV-1	PNV-2	PNV-3	PS-1	PS-2	PS-3	SP-1	SP-2	SP-3	SPV-1	SPV-2	SPV-3	FA-1	FA-2	FA-3
Achromadora	Achromadoridae	0	2	0	0	0	0	40	1	0	1	2	0	0	0	0	0	7	0
Alaimus	Alaimidae	0	0	6	0	0	0	10	0	0	0	0	0	0	0	0	8	0	11
Ditylenchus	Anguinidae	9	5	1	2	10	0	0	0	4	0	2	0	3	1	0	0	0	8
Pseudhalenchus	Anguinidae	11	17	0	20	7	2	0	3	0	29	12	0	9	3	6	9	19	2
Paraphelenchus	Aphelenchidae	111	13	8	24	16	5	8	7	1	4	17	9	35	14	14	9	37	10
Aphelenchoides	Aphelenchoididae	303	59	15	65	11	6	0	35	52	8	30	8	0	129	11	29	36	12
Bursaphelenchus	Aphelenchoididae	0	0	0	0	1	0	0	2	8	0	4	0	0	0	0	0	1	0
Laimaphelenchus	Aphelenchoididae	0	0	0	5	4	0	2	13	0	18	0	9	0	4	0	0	0	0
Schistonchus	Aphelenchoididae	4	0	0	2	0	0	4	0	0	0	0	2	0	0	0	0	4	0
Odontolaimus	Bastianiidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
Acrobeles	Cephalobidae	0	0	29	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0
Acrobeloides	Cephalobidae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Cephalobus	Cephalobidae	81	20	107	10	5	0	34	43	20	26	33	9	3	0	0	0	0	0
Chiloplacus	Cephalobidae	512	299	581	1010	638	270	150	267	753	730	609	357	887	390	1065	385	1070	140
Eucephalobus	Cephalobidae	1	39	17	100	88	10	72	7	14	31	39	45	200	64	76	59	60	52
Prodesmodora	Desmodoridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0
Diphtherophora	Diphtherophoridae	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tylenchorhynchus	Dolichodoridae	0	0	0	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0
Mesodorylaimus	Dorylaimidae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Haliplectus	Haliplectidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
Meloidogyne	Heteroderidae	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	24	0
Eumonhystera	Monhysteridae	0	0	3	1	0	0	7	8	3	0	0	2	0	0	0	12	1	5
Geomonhystera	Monhysteridae	15	11	0	0	18	0	15	23	0	14	0	11	0	0	4	0	56	130
Prismatolaimus	Monhysteridae	0	29	49	33	13	0	60	23	118	14	40	6	39	0	4	16	117	178
Clarkus	Mononchidae	0	237	166	0	252	635	654	412	68	0	0	0	73	191	44	0	38	93
Mylonchulus	Mylonchulidae	157	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pristionchus	Neodiplogastridae	0	0	0	0	0	0	0	0	38	0	163	14	0	23	18	0	0	0
Enchodelus	Nordiidae	0	0	0	0	0	0	0	37	0	0	0	22	0	0	0	0	0	22
Panagrolaimus	Panagrolaimidae	293	15	8	120	796	41	53	163	17	259	87	179	497	337	238	19	147	608
Anaplectus	Plectidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	86	0
Plectus	Plectidae	0	0	4	21	12	2	0	0	0	0	0	0	43	0	19	58	58	0
Caenorhabditis	Rhabditidae	74	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Distolabrellus	Rhabditidae	2	0	0	2	4	0	0	1	1	0	0	0	24	5	0	0	0	0
Oscheius	Rhabditidae	17	2	5	23	276	5	19	19	0	40	11	11	245	4	41	39	94	240
Rotylenchulus	Rotylenchulidae	0	0	0	0	0	0	0	0	0	0	0	0	3	39	3	0	0	0
Oxydirus	Swangeriidae	0	18	56	0	27	1	0	16	60	0	0	0	11	0	0	44	91	90
Tripylina	Tripylidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	641	0	0
Filenchus	Tylenchidae	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Miculenchus	Tylenchidae	2	2	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1
Ottolenchus	Tylenchidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Tylenchus	Tylenchidae	33	305	17	1	1	2	71	14	1	6	10	48	0	6	1	0	0	19
Unclassified	Unclassified	1854	2404	2391	2028	1295	2498	2280	2380	2317	2278	2418	2747	1407	2269	1932	2075	1523	1858
