	PN-1	PN-2	PN-3	PNV-1	PNV-2	PNV-3	PS-1	PS-2	PS-3	SP-1	SP-2	SP-3	SPV-1	SPV-2	SPV-3	FA-1	FA-2	FA-3
Achromadoridae	0	0.000574877838459327	0	0	0	0	0.0114975567691865	0.000287438919229664	0	0.000287438919229664	0.000574877838459327	0	0	0	0	0	0.00201207243460765	0
Alaimidae	0	0	0.00172463351537798	0	0	0	0.00287438919229664	0	0	0	0	0	0	0	0	0.00229951135383731	0	0.0031618281115263
Anguinidae	0.00574877838459327	0.0063236562230526	0.000287438919229664	0.0063236562230526	0.00488646162690428	0.000574877838459327	0	0.000862316757688991	0.00114975567691865	0.00833572865766025	0.00402414486921529	0	0.00344926703075596	0.00114975567691865	0.00172463351537798	0.00258695027306697	0.00546133946536361	0.00287438919229664
Aphelenchidae	0.0319057200344927	0.00373670594998563	0.00229951135383731	0.00689853406151193	0.00459902270767462	0.00143719459614832	0.00229951135383731	0.00201207243460765	0.000287438919229664	0.00114975567691865	0.00488646162690428	0.00258695027306697	0.0100603621730382	0.00402414486921529	0.00402414486921529	0.00258695027306697	0.0106352400114976	0.00287438919229664
Aphelenchoididae	0.0882437482035067	0.0169588962345502	0.00431158378844496	0.0206956021845358	0.00459902270767462	0.00172463351537798	0.00172463351537798	0.0143719459614832	0.0172463351537798	0.00747341189997126	0.00977292325380857	0.00546133946536361	0	0.0382293762575453	0.0031618281115263	0.00833572865766025	0.0117849956884162	0.00344926703075596
Bastianiidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00201207243460765	0
Cephalobidae	0.17073871802242	0.10290313308422	0.210980166714573	0.321931589537223	0.210117849956884	0.0804828973843058	0.0735843633227939	0.0911181373958034	0.226214429433745	0.232250646737568	0.196033342914631	0.118137395803392	0.313308421960333	0.130497269330267	0.327967806841046	0.127622880137971	0.32480597872952	0.0551882724920954
Desmodoridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00517390054613395	0	0
Diphtherophoridae	0	0	0.00459902270767462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dolichodoridae	0	0	0	0	0.00143719459614832	0	0	0.00114975567691865	0	0	0	0	0	0	0	0	0	0
Dorylaimidae	0	0	0	0	0	0	0	0	0	0	0.000287438919229664	0	0	0	0	0	0	0
Haliplectidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00344926703075596	0	0
Heteroderidae	0	0	0	0.00201207243460765	0	0.000287438919229664	0	0	0	0	0	0	0	0	0	0	0.00689853406151193	0
Monhysteridae	0.00431158378844496	0.0114975567691865	0.0149468237999425	0.00977292325380857	0.00891060649611957	0	0.0235699913768324	0.0155217016384018	0.0347801092267893	0.00804828973843058	0.0114975567691865	0.00546133946536361	0.0112101178499569	0	0.00229951135383731	0.00804828973843058	0.0500143719459615	0.0899683817188847
Mononchidae	0	0.0681230238574303	0.0477148605921242	0	0.0724346076458753	0.182523713710836	0.1879850531762	0.118424834722621	0.0195458465076171	0	0	0	0.0209830411037654	0.0549008335728658	0.0126473124461052	0	0.0109226789307272	0.0267318194883587
Mylonchulidae	0.0451279103190572	0.000287438919229664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neodiplogastridae	0	0	0	0	0	0	0	0	0.0109226789307272	0	0.0468525438344352	0.00402414486921529	0	0.00661109514228226	0.00517390054613395	0	0	0
Nordiidae	0	0	0	0	0	0	0	0.0106352400114976	0	0	0	0.0063236562230526	0	0	0	0	0	0.0063236562230526
Panagrolaimidae	0.0842196033342915	0.00431158378844496	0.00229951135383731	0.0344926703075596	0.228801379706812	0.0117849956884162	0.0152342627191722	0.0468525438344352	0.00488646162690428	0.0744466800804829	0.0250071859729807	0.0514515665421098	0.142857142857143	0.0968669157803967	0.06841046277666	0.00546133946536361	0.0422535211267606	0.174762862891636
Plectidae	0	0	0.00114975567691865	0.00603621730382294	0.00344926703075596	0.000574877838459327	0	0	0	0	0	0	0.0123598735268755	0	0.00546133946536361	0.029893647599885	0.0413912043690716	0
Rhabditidae	0.0267318194883587	0.000574877838459327	0.00143719459614832	0.00862316757688991	0.0804828973843058	0.00143719459614832	0.00546133946536361	0.00574877838459327	0.00143719459614832	0.0114975567691865	0.0031618281115263	0.0031618281115263	0.0773210692727795	0.00258695027306697	0.0117849956884162	0.0112101178499569	0.0270192584075884	0.0689853406151193
Rotylenchulidae	0	0	0	0	0	0	0	0	0	0	0	0	0.000862316757688991	0.0112101178499569	0.000862316757688991	0	0	0
Swangeriidae	0	0.00517390054613395	0.0160965794768612	0	0.00776085081920092	0.000287438919229664	0	0.00459902270767462	0.0172463351537798	0	0	0	0.0031618281115263	0	0	0.0126473124461052	0.0261569416498994	0.0258695027306697
Tripylidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.184248347226214	0	0
Tylenchidae	0.0100603621730382	0.0885311871227364	0.00488646162690428	0.000287438919229664	0.000287438919229664	0.000862316757688991	0.0204081632653061	0.00431158378844496	0.000287438919229664	0.00172463351537798	0.00287438919229664	0.0137970681230239	0	0.00172463351537798	0.00114975567691865	0	0.000862316757688991	0.00574877838459327
Unclassified	0.532911756251797	0.691003161828112	0.687266455878126	0.582926128197758	0.372233400402414	0.7180224202357	0.655360735843633	0.6841046277666	0.665995975855131	0.654785858005174	0.695027306697327	0.789594711123886	0.404426559356137	0.652198907732107	0.55533199195171	0.596435757401552	0.437769473986778	0.534061511928715
