SampleID,Family,DNA_rel,Abundance,MeanMass
PN-1,Aphelenchidae,0.019471488,15,0.03067466
PN-2,Aphelenchidae,0.015299026,6,0.05996679
PN-3,Aphelenchidae,0,5,0.050142326
PNV-1,Aphelenchidae,0.137691238,59,0.010772301
PNV-2,Aphelenchidae,0.009735744,13,0.024678499
PNV-3,Aphelenchidae,0.02364395,10,0.060457106
PS-1,Aphelenchidae,0.019471488,0,0
PS-2,Aphelenchidae,0.009735744,0,0
PS-3,Aphelenchidae,0,4,0.013678018
SP-1,Aphelenchidae,0.031988873,8,0.077860494
SP-2,Aphelenchidae,0.005563282,6,0.027305236
SP-3,Aphelenchidae,0,7,0.017939059
SPV-1,Aphelenchidae,0.100139082,38,0.01379154
SPV-2,Aphelenchidae,0.009735744,6,0.034558639
SPV-3,Aphelenchidae,0.040333797,19,0.014063223
FA-1,Aphelenchidae,0.02364395,14,0.020278695
FA-2,Aphelenchidae,0,17,0.028248416
FA-3,Aphelenchidae,0.006954103,2,0.01311885
PN-1,Aphelenchoididae,0.022253129,23,0.04376371
PN-2,Aphelenchoididae,0.018080668,42,0.039094197
PN-3,Aphelenchoididae,0.044506259,23,0.025284067
PNV-1,Aphelenchoididae,0.013908206,81,0.013469171
PNV-2,Aphelenchoididae,0.012517385,41,0.022960868
PNV-3,Aphelenchoididae,0.013908206,32,0.036165903
PS-1,Aphelenchoididae,0.005563282,3,0.025465725
PS-2,Aphelenchoididae,0.012517385,5,0.019273981
PS-3,Aphelenchoididae,0.005563282,77,0.036710001
SP-1,Aphelenchoididae,0.016689847,32,0.04145191
SP-2,Aphelenchoididae,0.016689847,19,0.032211672
SP-3,Aphelenchoididae,0.025034771,38,0.034722657
SPV-1,Aphelenchoididae,0,32,0.01765115
SPV-2,Aphelenchoididae,0.018080668,57,0.022751975
SPV-3,Aphelenchoididae,0.004172462,99,0.012690848
FA-1,Aphelenchoididae,0.011126565,15,0.027477965
FA-2,Aphelenchoididae,0.009735744,11,0.031196018
FA-3,Aphelenchoididae,0,6,0.011090943
PN-1,Cephalobidae,0.087621697,136,0.038377509
PN-2,Cephalobidae,0.055632823,66,0.059823323
PN-3,Cephalobidae,0.040333797,77,0.049640619
PNV-1,Cephalobidae,0.130737135,577,0.021349892
PNV-2,Cephalobidae,0.11821975,229,0.032000275
PNV-3,Cephalobidae,0.062586926,133,0.050548887
PS-1,Cephalobidae,0.0472879,12,0.023105233
PS-2,Cephalobidae,0.04867872,53,0.100623557
PS-3,Cephalobidae,0.091794159,98,0.043746017
SP-1,Cephalobidae,0.065368567,65,0.055855936
SP-2,Cephalobidae,0.100139082,66,0.038143483
SP-3,Cephalobidae,0.087621697,55,0.039913147
SPV-1,Cephalobidae,0.154381085,234,0.021303845
SPV-2,Cephalobidae,0.079276773,181,0.02929351
SPV-3,Cephalobidae,0.158553547,622,0.016530691
FA-1,Cephalobidae,0.037552156,26,0.035276237
FA-2,Cephalobidae,0.09596662,65,0.047577437
FA-3,Cephalobidae,0.073713491,16,0.0523624
PN-1,Monhysteridae,0.083449235,2,0.022521907
PN-2,Monhysteridae,0.077885953,5,0.043148943
PN-3,Monhysteridae,0.207232267,3,0.040747905
PNV-1,Monhysteridae,0.175243394,7,0.018278118
PNV-2,Monhysteridae,0.073713491,9,0.033512168
PNV-3,Monhysteridae,0.029207232,0,0
PS-1,Monhysteridae,0.235048679,10,0.030186146
PS-2,Monhysteridae,0.450625869,26,0.042880713
PS-3,Monhysteridae,0.23783032,7,0.068739027
SP-1,Monhysteridae,0.197496523,2,0.242099459
SP-2,Monhysteridae,0.201668985,15,0.023114947
SP-3,Monhysteridae,0.289290682,13,0.041353245
SPV-1,Monhysteridae,0.16689847,6,0.007891898
SPV-2,Monhysteridae,0.068150209,0,0
SPV-3,Monhysteridae,0.229485396,9,0.019820149
FA-1,Monhysteridae,0.201668985,14,0.033474785
FA-2,Monhysteridae,0.114047288,6,0.095432398
FA-3,Monhysteridae,0.253129346,40,0.053470495
PN-1,Mononchidae,0,5,0.186107798
PN-2,Mononchidae,0,2,1.277771444
PN-3,Mononchidae,0,0,0
PNV-1,Mononchidae,0.012517385,0,0
PNV-2,Mononchidae,0,4,0.482257385
PNV-3,Mononchidae,0.079276773,43,0.593330965
PS-1,Mononchidae,0,2,0.260912788
PS-2,Mononchidae,0,3,0.477203692
PS-3,Mononchidae,0,0,0
SP-1,Mononchidae,0,0,0
SP-2,Mononchidae,0,0,0
SP-3,Mononchidae,0,0,0
SPV-1,Mononchidae,0,3,0.271358105
SPV-2,Mononchidae,0,19,0.30803799
SPV-3,Mononchidae,0.013908206,0,0
FA-1,Mononchidae,0,0,0
FA-2,Mononchidae,0,0,0
FA-3,Mononchidae,0,2,0.409264262
PN-1,Panagrolaimidae,0.020862309,0,0
PN-2,Panagrolaimidae,0,3,0.078842137
PN-3,Panagrolaimidae,0,0,0
PNV-1,Panagrolaimidae,0,22,0.025150172
PNV-2,Panagrolaimidae,0.077885953,97,0.051804537
PNV-3,Panagrolaimidae,0,7,0.085875461
PS-1,Panagrolaimidae,0,3,0.053255928
PS-2,Panagrolaimidae,0.054242003,3,0.075253566
PS-3,Panagrolaimidae,0,12,0.071456751
SP-1,Panagrolaimidae,0.005563282,46,0.077887844
SP-2,Panagrolaimidae,0.005563282,26,0.046873757
SP-3,Panagrolaimidae,0,18,0.071189278
SPV-1,Panagrolaimidae,0.030598053,84,0.039962317
SPV-2,Panagrolaimidae,0.004172462,41,0.024769901
SPV-3,Panagrolaimidae,0,66,0.012568502
FA-1,Panagrolaimidae,0.011126565,14,0.047218917
FA-2,Panagrolaimidae,0.041724618,0,0
FA-3,Panagrolaimidae,0.006954103,6,0.03263654
PN-1,Rhabditidae,0.162726008,40,0.107282312
PN-2,Rhabditidae,0,16,0.213045115
PN-3,Rhabditidae,0.002781641,23,0.132169772
PNV-1,Rhabditidae,0.005563282,33,0.058209169
PNV-2,Rhabditidae,0.084840056,50,0.041734849
PNV-3,Rhabditidae,0,38,0.132543926
PS-1,Rhabditidae,0,3,0.053383748
PS-2,Rhabditidae,0.041724618,18,0.12423791
PS-3,Rhabditidae,0.001390821,16,0.115082676
SP-1,Rhabditidae,0,2,0.158282955
SP-2,Rhabditidae,0.006954103,6,0.01713486
SP-3,Rhabditidae,0,5,0.12085043
