"Family","Pair","Test","Ref","Mean","Diff"
"Aphelenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0448218265,-0.025740963
"Aphelenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.014623383,-0.021708648
"Aphelenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.011794714,-0.018963764
"Aphelenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0353835875,-0.057232825
"Aphelenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0145650835,-0.020050161
"Aphelenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.012728114,-0.022543772
"Aphelenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.001199246,0.002398492
"Aphelenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0010279255,0.002055851
"Aphelenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.004171321,-0.007657358
"Aphelenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.010556793,-0.018886414
"Aphelenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.008484153,-0.007031694
"Aphelenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0123346305,-0.019529635
"Aphelenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0309683055,-0.042063389
"Aphelenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.00597019,-0.00405962
"Aphelenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0100130205,-0.011973959
"Aphelenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0331998,-0.061259974
"Aphelenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0478066075,-0.074198105
"Aphelenchidae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.007866484,-0.009908058
"Aphelenchoididae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0889440925,-0.00159899499999999
"Aphelenchoididae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.094467645,-0.155013754
"Aphelenchoididae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.055375831,-0.102014296
"Aphelenchoididae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0543649135,-0.067270173
"Aphelenchoididae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.041247258,-0.073243188
"Aphelenchoididae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.0388994345,-0.074201131
"Aphelenchoididae","Nematode-extracted DNA vs Morphological identification","Nematode-extracted DNA","Morphological identification",0.014412948,-0.025228158
