"Pair","Family","n","median_diff","lower_loa","upper_loa","loa_width"
"Nematode-extracted DNA vs Mass proportion","Aphelenchidae",18,-0.004474322,-0.03147037155,0.0044781382,0.03594850975
"Nematode-extracted DNA vs Mass proportion","Aphelenchoididae",18,-0.019221765,-0.06738837505,0.02403591755,0.0914242926
"Nematode-extracted DNA vs Mass proportion","Cephalobidae",18,0.0357207575,-0.10297853755,0.125840356825,0.228818894375
"Nematode-extracted DNA vs Mass proportion","Monhysteridae",18,-0.001116829,-0.038982558,0.015518172525,0.054500730525
"Nematode-extracted DNA vs Mass proportion","Mononchidae",18,0,-0.122282848925,0.1295240127,0.251806861625
"Nematode-extracted DNA vs Mass proportion","Panagrolaimidae",18,0.023020006,-0.061000595625,0.128898774825,0.18989937045
"Nematode-extracted DNA vs Mass proportion","Rhabditidae",17,-0.045469079,-0.1551365708,0.0491815752,0.204318146
"Nematode-extracted DNA vs Mass proportion","Tylenchidae",17,-0.024055078,-0.1936114542,-0.000303712999999995,0.1933077412
"Nematode-extracted DNA vs Morphological identification","Aphelenchidae",18,-0.0192466995,-0.068699399325,0.002252869575,0.0709522689
"Nematode-extracted DNA vs Morphological identification","Aphelenchoididae",18,-0.064941548,-0.154878959725,-0.0035361433,0.151342816425
"Nematode-extracted DNA vs Morphological identification","Cephalobidae",18,-0.08090975,-0.330259816675,0.058376597525,0.3886364142
"Nematode-extracted DNA vs Morphological identification","Monhysteridae",18,-0.0038215405,-0.135704318325,0.020583258975,0.1562875773
"Nematode-extracted DNA vs Morphological identification","Mononchidae",18,0.0154461765,-0.011057692175,0.144808959475,0.15586665165
"Nematode-extracted DNA vs Morphological identification","Panagrolaimidae",18,0.0063313345,-0.0528768748,0.11415110525,0.16702798005
"Nematode-extracted DNA vs Morphological identification","Rhabditidae",17,-0.027519616,-0.1332252542,0.0437778768000001,0.177003131
"Nematode-extracted DNA vs Morphological identification","Tylenchidae",17,-0.035657358,-0.1892689614,-0.00574377279999999,0.1835251886
"eDNA metabarcoding vs Mass proportion","Aphelenchidae",18,0.005471467,-0.031641186725,0.1040612365,0.135702423225
"eDNA metabarcoding vs Mass proportion","Aphelenchoididae",18,-0.016925704,-0.07014024675,0.014949982575,0.085090229325
"eDNA metabarcoding vs Mass proportion","Cephalobidae",18,-0.0517760475,-0.211563292575,0.0421154062,0.253678698775
"eDNA metabarcoding vs Mass proportion","Monhysteridae",18,0.1706019195,0.04153065015,0.35931421765,0.3177835675
"eDNA metabarcoding vs Mass proportion","Mononchidae",18,-0.0099084545,-0.2050822918,0.013317107075,0.218399398875
"eDNA metabarcoding vs Mass proportion","Panagrolaimidae",18,-0.0151358215,-0.133969171775,0.045192159525,0.1791613313
"eDNA metabarcoding vs Mass proportion","Rhabditidae",17,-0.022531431,-0.129391709,0.0962922690000001,0.225683978
"eDNA metabarcoding vs Mass proportion","Tylenchidae",17,-0.012982326,-0.0598436728,0.0352261016,0.0950697744
"eDNA metabarcoding vs Morphological identification","Aphelenchidae",18,-0.006151564,-0.065899735225,0.0628315717,0.128731306925
"eDNA metabarcoding vs Morphological identification","Aphelenchoididae",18,-0.061984257,-0.1611060008,-0.013739663625,0.147366337175
"eDNA metabarcoding vs Morphological identification","Cephalobidae",18,-0.173483796,-0.469360002975,-0.03352999205,0.435830010925
"eDNA metabarcoding vs Morphological identification","Monhysteridae",18,0.156433034,0.01052655035,0.300260185575,0.289733635225
"eDNA metabarcoding vs Morphological identification","Mononchidae",18,-0.002,-0.024415855525,0.013317107075,0.0377329626
"eDNA metabarcoding vs Morphological identification","Panagrolaimidae",18,-0.0297537175,-0.111080730575,0.041222588875,0.15230331945
"eDNA metabarcoding vs Morphological identification","Rhabditidae",17,-0.030436718,-0.0989608028,0.0908885706000001,0.1898493734
"eDNA metabarcoding vs Morphological identification","Tylenchidae",17,-0.016,-0.1331675526,0.0476677446000001,0.1808352972
