SampleID,Method,Aphelenchidae,Aphelenchoididae,Cephalobidae,Monhysteridae,Mononchidae,Panagrolaimidae,Rhabditidae,Tylenchidae
A1,Nematode-extracted DNA,0.031951345,0.088144595,0.170978242,0.004197362,0,0.084204214,,0.010193593
A2,Nematode-extracted DNA,0.003769059,0.016960768,0.10279253,0.011478499,0.068100051,0.004368683,0.000685284,0.088744218
A3,Nematode-extracted DNA,0.002312832,0.004368683,0.210896008,0.014904917,0.047627206,0.002227171,0.001456228,0.004968306
A4,Nematode-extracted DNA,0.006767175,0.020729827,0.322083262,0.00976529,0,0.034435498,0.008480384,0.000342642
A5,Nematode-extracted DNA,0.004540003,0.004625664,0.210382046,0.008908686,0.072468734,0.22871338,0.080606476,0.000428302
A6,Nematode-extracted DNA,0.001456228,0.001798869,0.080349495,0,0.182628062,0.01164982,0.001370567,0.000942265
A7,Nematode-extracted DNA,0.002398492,0.001798869,0.07366798,0.023727942,0.187853349,0.015247559,0.005482268,0.020387185
A8,Nematode-extracted DNA,0.002055851,0.014390954,0.091228371,0.01550454,0.118554052,0.046856262,0.00573925,0.004197362
A9,Nematode-extracted DNA,0.000342642,0.017303409,0.226229227,0.034692479,0.01944492,0.004796985,0.001199246,0.000428302
A10,Nematode-extracted DNA,0.001113586,0.007281138,0.232139798,0.007880761,0,0.074524585,0.011478499,0.001798869
A11,Nematode-extracted DNA,0.004968306,0.00976529,0.195991091,0.011478499,0,0.02509851,0.003169436,0.002741134
A12,Nematode-extracted DNA,0.002569813,0.005225287,0.118040089,0.005482268,0,0.051396265,0.003255097,
A13,Nematode-extracted DNA,0.009936611,8.57E-05,0.313345897,0.011221518,0.020901148,0.142881617,0.077180058,0
A14,Nematode-extracted DNA,0.00394038,0.038204557,0.130460853,0,0.054994004,0.09688196,0.002484153,0.001627548
A15,Nematode-extracted DNA,0.004026041,0.003255097,0.327822512,0.002569813,0.012677745,0.068528354,0.011906801,0.001199246
